depth_cm,age_calBP,d18OcarbVPDB,d13CcarbVPDB
49.47,601.3,-5.24,4.5
49.57,603.7,-5.42,3.61
49.67,606.1,-5.32,3.99
49.77,608.5,-5.01,4.21
49.87,610.9,-5.74,1.85
49.97,613.3,-5.13,3.42
50.07,615.7,-5.4,3.19
50.17,618.1,-5.43,3.67
50.27,620.5,-5.36,3.48
50.37,622.9,-5.55,3.84
50.47,625.3,-6.32,0.33
50.57,627.7,-5.67,3.77
50.67,630.1,-5.79,3.52
50.77,632.5,-5.7,3.89
50.87,634.9,-5.96,3.59
50.97,637.3,-5.72,3.74
51.07,639.7,-5.98,2.74
51.17,642.1,-5.55,3.13
51.27,644.5,-5.12,3.16
51.37,646.9,-4.96,3.62
51.47,649.3,-6.12,2.89
51.57,651.7,-6.21,3.83
51.67,654.1,-4.92,3.37
51.77,656.5,-5.81,3.31
51.87,658.9,-5.8,2.79
51.97,661.3,-5.53,2.01
52.07,663.7,-5.46,1.92
52.17,666.1,-5.37,2.46
52.27,668.5,-5.34,1.66
52.37,670.9,-5.35,2.48
52.47,673.3,-5.42,2.34
52.57,675.7,-5.24,2.81
52.67,678.1,-6.1,-3.98
52.77,680.5,-5.4,2.58
52.86,682.6,-5.3,4.1
52.93,684.3,-5.25,3.93
53.01,686.2,-5.25,4.56
53.09,688.2,-5.36,3.88
53.17,690.1,-5.21,4.77
53.24,691.8,-5.01,4.72
53.32,693.7,-5.16,3.87
53.4,695.6,-5.13,4.12
53.48,697.5,-5.07,4.79
53.55,699.2,-5.21,4.52
53.63,701.1,-5.95,-2.57
53.71,703,-5.01,4.61
53.78,704.7,-5.1,4.07
53.86,706.6,-5.17,4.47
53.94,708.6,-5.71,-0.73
54.02,710.6,-4.89,4.51
54.09,712.8,-4.43,2.45
54.17,715.3,-5.23,1.51
54.32,719.9,-4.72,3.82
54.4,722.4,-5.24,2.9
54.48,724.9,-4.63,4
54.57,727.7,-10.49,-3.02
54.67,730.8,-4.52,4.66
54.87,737,-4.54,4.19
54.97,740.1,-4.6,1.73
55.07,743.2,-6.03,1.98
55.17,746.4,-12.64,-4.27
55.37,752.8,-5.27,3.22
55.57,759.2,-4.94,3.44
55.77,765.6,-4.13,4.4
55.87,768.8,-5.89,2.66
55.97,772,-3.91,4.45
56.06,774.9,-4.66,2.36
56.14,777.5,-4.68,2.98
56.23,780.4,-5.26,2.61
56.31,782.9,-4.05,4.18
56.48,788.4,-4.69,2.17
56.57,791.2,-4.8,2.46
56.65,793.8,-4.13,4.88
56.74,796.7,-4.07,4.98
56.82,799.2,-4.25,4.97
56.91,802.1,-4.31,5.02
56.99,804.7,-5.36,3.22
57.08,807.6,-4.41,4.7
57.16,810.1,-4.63,4.2
57.25,813,-4.57,4.46
57.33,815.6,-5.59,2.58
57.5,821,-4.41,4.83
57.59,823.9,-4.01,4.76
57.67,826.4,-4.28,5.09
57.76,829.3,-4.08,5.04
57.84,831.9,-4.21,5.16
57.93,834.8,-4.26,4.67
58.01,837.3,-4.62,4.73
58.1,840.2,-4.33,3.88
58.18,842.8,-4.66,4.67
58.27,845.6,-4.27,4.73
58.44,851.1,-4.24,5.06
58.52,853.6,-4.21,5.08
58.61,856.5,-4.33,5.25
58.69,859.1,-4.74,4.9
58.78,862,-4.54,5.07
58.86,864.5,-4.94,4.3
58.95,867.4,-4.41,5.14
59.03,870,-8.02,-5.29
59.12,872.8,-4.34,5.12
59.2,875.4,-4.89,4.84
59.29,878.3,-4.92,4.95
59.37,880.8,-4.77,4.7
59.46,883.7,-4.8,5.06
59.54,886.3,-4.82,5.23
59.63,889.2,-4.76,5.22
59.71,891.7,-5.53,3.35
59.8,894.6,-4.58,4.29
59.88,897.2,-4.24,5.17
59.97,900,-5.26,1.85
60.05,902.6,-4.53,5.13
60.14,905.3,-4.34,4.92
60.22,907.8,-4.51,4.21
60.31,910.6,-10.44,-10.89
60.39,913.1,-4.43,5.17
60.48,915.9,-5.59,3
60.56,918.4,-4.71,4.85
60.65,921.2,-6.28,2.27
60.73,923.6,-9.57,-15.16
60.82,926.4,-4.7,4.64
60.9,928.9,-11.29,-8.65
60.99,931.7,-4.81,4.83
61.07,934.2,-5.33,3.26
61.16,937.1,-4.78,4.59
61.24,939.7,-5.59,1.7
61.33,942.6,-4.86,4.49
61.41,945.1,-11.34,-8.02
61.5,948,-4.82,4.59
61.58,950.6,-5.71,3.43
61.67,953.4,-4.58,4.96
61.75,956,-4.7,4.91
61.84,958.9,-6.96,2.95
61.92,961.4,-4.6,5.51
62.01,964.3,-4.83,5.08
62.09,966.9,-5.04,4.64
62.18,969.8,-4.83,5
62.26,972.3,-9.17,-3.61
62.35,975.2,-5.22,4.66
